Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance
Q88EJ2,Q88EJ2_PSEPK,Pp_4470,Transcriptional regulator (Arc domain-containing),PP_0815,R1,0,1.00E-05,-5
Q88EJ2,Q88EJ2_PSEPK,Pp_4470,Transcriptional regulator (Arc domain-containing),PP_0815,R2,0,1.00E-05,-5
Q88EJ2,Q88EJ2_PSEPK,Pp_4470,Transcriptional regulator (Arc domain-containing),PP_0815,R3,0,1.00E-05,-5
Q88EK2,Q88EK2_PSEPK,Pp_4460,"Transcriptional regulator, LysR family",PP_0815,R1,0,1.00E-05,-5
Q88EK2,Q88EK2_PSEPK,Pp_4460,"Transcriptional regulator, LysR family",PP_0815,R2,0,1.00E-05,-5
Q88EK2,Q88EK2_PSEPK,Pp_4460,"Transcriptional regulator, LysR family",PP_0815,R3,0,1.00E-05,-5
Q88EL4,Q88EL4_PSEPK,Pp_4448,Helicase HerA central domain-containing protein,PP_0815,R1,40711.66667,0.009113102,-2.040333746
Q88EL4,Q88EL4_PSEPK,Pp_4448,Helicase HerA central domain-containing protein,PP_0815,R2,87472.4,0.017045146,-1.768399264
Q88EL4,Q88EL4_PSEPK,Pp_4448,Helicase HerA central domain-containing protein,PP_0815,R3,39696.33333,0.008588611,-2.066077067
Q88EM6,Q88EM6_PSEPK,Pp_4428,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0815,R1,0,1.00E-05,-5
Q88EM6,Q88EM6_PSEPK,Pp_4428,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0815,R2,0,1.00E-05,-5
Q88EM6,Q88EM6_PSEPK,Pp_4428,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0815,R3,0,1.00E-05,-5
Q88EQ0,Q88EQ0_PSEPK,Bkdb,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,PP_0815,R1,0,1.00E-05,-5
Q88EQ0,Q88EQ0_PSEPK,Bkdb,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,PP_0815,R2,0,1.00E-05,-5
Q88EQ0,Q88EQ0_PSEPK,Bkdb,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,PP_0815,R3,0,1.00E-05,-5
Q88EQ1,Q88EQ1_PSEPK,Bkdab,"Branched-chain alpha-keto acid dehydrogenase complex, beta subunit",PP_0815,R1,0,1.00E-05,-5
Q88EQ1,Q88EQ1_PSEPK,Bkdab,"Branched-chain alpha-keto acid dehydrogenase complex, beta subunit",PP_0815,R2,0,1.00E-05,-5
Q88EQ1,Q88EQ1_PSEPK,Bkdab,"Branched-chain alpha-keto acid dehydrogenase complex, beta subunit",PP_0815,R3,0,1.00E-05,-5
Q88EQ6,YCGR_PSEPK,Ycgr,Flagellar brake protein YcgR,PP_0815,R1,0,1.00E-05,-5
Q88EQ6,YCGR_PSEPK,Ycgr,Flagellar brake protein YcgR,PP_0815,R2,181634.6667,0.035393901,-1.451071565
Q88EQ6,YCGR_PSEPK,Ycgr,Flagellar brake protein YcgR,PP_0815,R3,102172.6667,0.022105852,-1.655492732
Q88ER0,Q88ER0_PSEPK,Pp_4393,Chemotaxis protein,PP_0815,R1,0,1.00E-05,-5
Q88ER0,Q88ER0_PSEPK,Pp_4393,Chemotaxis protein,PP_0815,R2,38783,0.007557377,-2.121628906
Q88ER0,Q88ER0_PSEPK,Pp_4393,Chemotaxis protein,PP_0815,R3,0,1.00E-05,-5
Q88ER1,CHER2_PSEPK,Cher2,Chemotaxis protein methyltransferase Cher2,PP_0815,R1,0,1.00E-05,-5
Q88ER1,CHER2_PSEPK,Cher2,Chemotaxis protein methyltransferase Cher2,PP_0815,R2,0,1.00E-05,-5
Q88ER1,CHER2_PSEPK,Cher2,Chemotaxis protein methyltransferase Cher2,PP_0815,R3,0,1.00E-05,-5
Q88ER7,Q88ER7_PSEPK,Flgf,Flagellar basal-body rod protein FlgF,PP_0815,R1,0,1.00E-05,-5
Q88ER7,Q88ER7_PSEPK,Flgf,Flagellar basal-body rod protein FlgF,PP_0815,R2,0,1.00E-05,-5
Q88ER7,Q88ER7_PSEPK,Flgf,Flagellar basal-body rod protein FlgF,PP_0815,R3,0,1.00E-05,-5
Q88ER8,Q88ER8_PSEPK,Flgg,Flagellar basal-body rod protein FlgG,PP_0815,R1,0,1.00E-05,-5
Q88ER8,Q88ER8_PSEPK,Flgg,Flagellar basal-body rod protein FlgG,PP_0815,R2,0,1.00E-05,-5
Q88ER8,Q88ER8_PSEPK,Flgg,Flagellar basal-body rod protein FlgG,PP_0815,R3,0,1.00E-05,-5
Q88ES2,Q88ES2_PSEPK,Flgk,Flagellar hook-associated protein 1,PP_0815,R1,0,1.00E-05,-5
Q88ES2,Q88ES2_PSEPK,Flgk,Flagellar hook-associated protein 1,PP_0815,R2,0,1.00E-05,-5
Q88ES2,Q88ES2_PSEPK,Flgk,Flagellar hook-associated protein 1,PP_0815,R3,0,1.00E-05,-5
Q88ES3,Q88ES3_PSEPK,Flgl,Flagellar hook-associated protein FlgL,PP_0815,R1,0,1.00E-05,-5
Q88ES3,Q88ES3_PSEPK,Flgl,Flagellar hook-associated protein FlgL,PP_0815,R2,0,1.00E-05,-5
Q88ES3,Q88ES3_PSEPK,Flgl,Flagellar hook-associated protein FlgL,PP_0815,R3,0,1.00E-05,-5
Q88ES4,Q88ES4_PSEPK,Pp_4379,Beta-ketoacyl-acyl-carrier-protein synthase I,PP_0815,R1,0,1.00E-05,-5
Q88ES4,Q88ES4_PSEPK,Pp_4379,Beta-ketoacyl-acyl-carrier-protein synthase I,PP_0815,R2,56189.76667,0.010949314,-1.960613078
Q88ES4,Q88ES4_PSEPK,Pp_4379,Beta-ketoacyl-acyl-carrier-protein synthase I,PP_0815,R3,0,1.00E-05,-5
Q88ES5,Q88ES5_PSEPK,Flic,Flagellin,PP_0815,R1,1960399.667,0.438825637,-0.357708008
Q88ES5,Q88ES5_PSEPK,Flic,Flagellin,PP_0815,R2,1764405.667,0.343817626,-0.463671862
Q88ES5,Q88ES5_PSEPK,Flic,Flagellin,PP_0815,R3,1472963.667,0.318687166,-0.496635426
Q88ES6,Q88ES6_PSEPK,Pp_4377,Flagellin FlaG,PP_0815,R1,0,1.00E-05,-5
Q88ES6,Q88ES6_PSEPK,Pp_4377,Flagellin FlaG,PP_0815,R2,0,1.00E-05,-5
Q88ES6,Q88ES6_PSEPK,Pp_4377,Flagellin FlaG,PP_0815,R3,0,1.00E-05,-5
Q88ES7,Q88ES7_PSEPK,Flid,Flagellar hook-associated protein 2,PP_0815,R1,0,1.00E-05,-5
Q88ES7,Q88ES7_PSEPK,Flid,Flagellar hook-associated protein 2,PP_0815,R2,53483,0.010421865,-1.982054546
Q88ES7,Q88ES7_PSEPK,Flid,Flagellar hook-associated protein 2,PP_0815,R3,0,1.00E-05,-5
Q88ET0,Q88ET0_PSEPK,Fleq,Transcriptional regulator FleQ,PP_0815,R1,390791.3333,0.087476681,-1.058107704
Q88ET0,Q88ET0_PSEPK,Fleq,Transcriptional regulator FleQ,PP_0815,R2,343564.6667,0.066948089,-1.174261813
Q88ET0,Q88ET0_PSEPK,Fleq,Transcriptional regulator FleQ,PP_0815,R3,435201.6667,0.094159271,-1.026136911
Q88ET9,Q88ET9_PSEPK,Pp_4364,Anti-sigma F factor antagonist,PP_0815,R1,0,1.00E-05,-5
Q88ET9,Q88ET9_PSEPK,Pp_4364,Anti-sigma F factor antagonist,PP_0815,R2,0,1.00E-05,-5
Q88ET9,Q88ET9_PSEPK,Pp_4364,Anti-sigma F factor antagonist,PP_0815,R3,0,1.00E-05,-5
Q88EU5,Q88EU5_PSEPK,Flim,Flagellar motor switch protein FliM,PP_0815,R1,0,1.00E-05,-5
Q88EU5,Q88EU5_PSEPK,Flim,Flagellar motor switch protein FliM,PP_0815,R2,0,1.00E-05,-5
Q88EU5,Q88EU5_PSEPK,Flim,Flagellar motor switch protein FliM,PP_0815,R3,0,1.00E-05,-5
Q88EV9,Q88EV9_PSEPK,Flhf,Flagellar biosynthesis protein FlhF,PP_0815,R1,0,1.00E-05,-5
Q88EV9,Q88EV9_PSEPK,Flhf,Flagellar biosynthesis protein FlhF,PP_0815,R2,0,1.00E-05,-5
Q88EV9,Q88EV9_PSEPK,Flhf,Flagellar biosynthesis protein FlhF,PP_0815,R3,65293.66667,0.014126794,-1.849956403
Q88EW0,Q88EW0_PSEPK,Pp_4342,"Flagellar synthesis regulator, putative ATPase",PP_0815,R1,0,1.00E-05,-5
Q88EW0,Q88EW0_PSEPK,Pp_4342,"Flagellar synthesis regulator, putative ATPase",PP_0815,R2,83710.66667,0.016312123,-1.787489506
Q88EW0,Q88EW0_PSEPK,Pp_4342,"Flagellar synthesis regulator, putative ATPase",PP_0815,R3,0,1.00E-05,-5
Q88EW2,Q88EW2_PSEPK,Chey,Response regulator for chemotactic signal transduction,PP_0815,R1,139643,0.031258385,-1.505033458
Q88EW2,Q88EW2_PSEPK,Chey,Response regulator for chemotactic signal transduction,PP_0815,R2,221137.3333,0.043091515,-1.365608238
Q88EW2,Q88EW2_PSEPK,Chey,Response regulator for chemotactic signal transduction,PP_0815,R3,138941,0.030060968,-1.52199704
Q88EW3,CHEZ_PSEPK,Chez,Protein phosphatase CheZ,PP_0815,R1,0,1.00E-05,-5
Q88EW3,CHEZ_PSEPK,Chez,Protein phosphatase CheZ,PP_0815,R2,0,1.00E-05,-5
Q88EW3,CHEZ_PSEPK,Chez,Protein phosphatase CheZ,PP_0815,R3,0,1.00E-05,-5
Q88EW4,Q88EW4_PSEPK,Chea,Chemotaxis protein CheA,PP_0815,R1,0,1.00E-05,-5
Q88EW4,Q88EW4_PSEPK,Chea,Chemotaxis protein CheA,PP_0815,R2,59498,0.011593967,-1.935767939
Q88EW4,Q88EW4_PSEPK,Chea,Chemotaxis protein CheA,PP_0815,R3,0,1.00E-05,-5
Q88EW5,CHEB1_PSEPK,Cheb1,Protein-glutamate methylesterase/protein-glutamine glutaminase of group 1 operon,PP_0815,R1,46877.33333,0.010493256,-1.97908973
Q88EW5,CHEB1_PSEPK,Cheb1,Protein-glutamate methylesterase/protein-glutamine glutaminase of group 1 operon,PP_0815,R2,76528,0.014912486,-1.826449943
Q88EW5,CHEB1_PSEPK,Cheb1,Protein-glutamate methylesterase/protein-glutamine glutaminase of group 1 operon,PP_0815,R3,59942,0.012968919,-1.887096231
Q88EW6,Q88EW6_PSEPK,Pp_4336,Flagellar motor rotation protein,PP_0815,R1,0,1.00E-05,-5
Q88EW6,Q88EW6_PSEPK,Pp_4336,Flagellar motor rotation protein,PP_0815,R2,0,1.00E-05,-5
Q88EW6,Q88EW6_PSEPK,Pp_4336,Flagellar motor rotation protein,PP_0815,R3,0,1.00E-05,-5
Q88EX0,Q88EX0_PSEPK,Pp_4332,Chemotaxis protein CheW,PP_0815,R1,83983,0.018799174,-1.725861244
Q88EX0,Q88EX0_PSEPK,Pp_4332,Chemotaxis protein CheW,PP_0815,R2,167646.3333,0.032668091,-1.485876247
Q88EX0,Q88EX0_PSEPK,Pp_4332,Chemotaxis protein CheW,PP_0815,R3,35675.66667,0.007718708,-2.112455363
Q88EY1,Q88EY1_PSEPK,Ccmg,Holocytochrome c synthetase subunit,PP_0815,R1,0,1.00E-05,-5
Q88EY1,Q88EY1_PSEPK,Ccmg,Holocytochrome c synthetase subunit,PP_0815,R2,0,1.00E-05,-5
Q88EY1,Q88EY1_PSEPK,Ccmg,Holocytochrome c synthetase subunit,PP_0815,R3,0,1.00E-05,-5
Q88EY2,Q88EY2_PSEPK,Pp_4319,Lipoprotein,PP_0815,R1,0,1.00E-05,-5
Q88EY2,Q88EY2_PSEPK,Pp_4319,Lipoprotein,PP_0815,R2,0,1.00E-05,-5
Q88EY2,Q88EY2_PSEPK,Pp_4319,Lipoprotein,PP_0815,R3,0,1.00E-05,-5
Q88EY4,Q88EY4_PSEPK,Pp_4316,D-isomer specific 2-hydroxyacid dehydrogenase family protein,PP_0815,R1,0,1.00E-05,-5
Q88EY4,Q88EY4_PSEPK,Pp_4316,D-isomer specific 2-hydroxyacid dehydrogenase family protein,PP_0815,R2,39920,0.007778936,-2.109079774
Q88EY4,Q88EY4_PSEPK,Pp_4316,D-isomer specific 2-hydroxyacid dehydrogenase family protein,PP_0815,R3,0,1.00E-05,-5
Q88EY5,Q88EY5_PSEPK,Pp_4315,Enzyme,PP_0815,R1,59496.33333,0.013317956,-1.875562427
Q88EY5,Q88EY5_PSEPK,Pp_4315,Enzyme,PP_0815,R2,131833.6667,0.025689522,-1.590243975
Q88EY5,Q88EY5_PSEPK,Pp_4315,Enzyme,PP_0815,R3,0,1.00E-05,-5
Q88EZ0,Q88EZ0_PSEPK,Pp_4310,Hydantoin racemase,PP_0815,R1,0,1.00E-05,-5
Q88EZ0,Q88EZ0_PSEPK,Pp_4310,Hydantoin racemase,PP_0815,R2,0,1.00E-05,-5
Q88EZ0,Q88EZ0_PSEPK,Pp_4310,Hydantoin racemase,PP_0815,R3,0,1.00E-05,-5
Q88EZ5,Q88EZ5_PSEPK,Sbp-i,Sulfate ABC transporter,PP_0815,R1,55921.33333,0.01251771,-1.90247511
Q88EZ5,Q88EZ5_PSEPK,Sbp-i,Sulfate ABC transporter,PP_0815,R2,134599.6667,0.026228514,-1.581226322
Q88EZ5,Q88EZ5_PSEPK,Sbp-i,Sulfate ABC transporter,PP_0815,R3,164127,0.035510155,-1.449647429
Q88F01,Q88F01_PSEPK,Glxr,Tartronate semialdehyde reductase,PP_0815,R1,0,1.00E-05,-5
Q88F01,Q88F01_PSEPK,Glxr,Tartronate semialdehyde reductase,PP_0815,R2,0,1.00E-05,-5
Q88F01,Q88F01_PSEPK,Glxr,Tartronate semialdehyde reductase,PP_0815,R3,0,1.00E-05,-5
Q88F02,Q88F02_PSEPK,Hyi,Hydroxypyruvate isomerase,PP_0815,R1,0,1.00E-05,-5
Q88F02,Q88F02_PSEPK,Hyi,Hydroxypyruvate isomerase,PP_0815,R2,0,1.00E-05,-5
Q88F02,Q88F02_PSEPK,Hyi,Hydroxypyruvate isomerase,PP_0815,R3,0,1.00E-05,-5
Q88F05,Q88F05_PSEPK,Pp_4295,TetR family transcriptional regulator,PP_0815,R1,0,1.00E-05,-5
Q88F05,Q88F05_PSEPK,Pp_4295,TetR family transcriptional regulator,PP_0815,R2,0,1.00E-05,-5
Q88F05,Q88F05_PSEPK,Pp_4295,TetR family transcriptional regulator,PP_0815,R3,0,1.00E-05,-5
Q88F07,Q88F07_PSEPK,Pp_4293,Nucleoside-specific outer membrane channel protein Tsx,PP_0815,R1,0,1.00E-05,-5
Q88F07,Q88F07_PSEPK,Pp_4293,Nucleoside-specific outer membrane channel protein Tsx,PP_0815,R2,0,1.00E-05,-5
Q88F07,Q88F07_PSEPK,Pp_4293,Nucleoside-specific outer membrane channel protein Tsx,PP_0815,R3,0,1.00E-05,-5
Q88F12,Q88F12_PSEPK,Pucl,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,PP_0815,R1,0,1.00E-05,-5
Q88F12,Q88F12_PSEPK,Pucl,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,PP_0815,R2,0,1.00E-05,-5
Q88F12,Q88F12_PSEPK,Pucl,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,PP_0815,R3,0,1.00E-05,-5
Q88F13,Q88F13_PSEPK,Puue,Allantoinase,PP_0815,R1,0,1.00E-05,-5
Q88F13,Q88F13_PSEPK,Puue,Allantoinase,PP_0815,R2,0,1.00E-05,-5
Q88F13,Q88F13_PSEPK,Puue,Allantoinase,PP_0815,R3,0,1.00E-05,-5
Q88F16,Q88F16_PSEPK,Pp_4283,"Transcriptional regulator, GntR family",PP_0815,R1,0,1.00E-05,-5
Q88F16,Q88F16_PSEPK,Pp_4283,"Transcriptional regulator, GntR family",PP_0815,R2,0,1.00E-05,-5
Q88F16,Q88F16_PSEPK,Pp_4283,"Transcriptional regulator, GntR family",PP_0815,R3,0,1.00E-05,-5
Q88F18,Q88F18_PSEPK,Guad,Guanine deaminase,PP_0815,R1,0,1.00E-05,-5
Q88F18,Q88F18_PSEPK,Guad,Guanine deaminase,PP_0815,R2,0,1.00E-05,-5
Q88F18,Q88F18_PSEPK,Guad,Guanine deaminase,PP_0815,R3,0,1.00E-05,-5
Q88F20,Q88F20_PSEPK,Xdhb,Xanthine dehydrogenase subunit XdhB,PP_0815,R1,0,1.00E-05,-5
Q88F20,Q88F20_PSEPK,Xdhb,Xanthine dehydrogenase subunit XdhB,PP_0815,R2,10054.9,0.001959329,-2.707892551
Q88F20,Q88F20_PSEPK,Xdhb,Xanthine dehydrogenase subunit XdhB,PP_0815,R3,0,1.00E-05,-5
Q88F21,Q88F21_PSEPK,Xdha,Xanthine dehydrogenase subunit XdhA,PP_0815,R1,0,1.00E-05,-5
Q88F21,Q88F21_PSEPK,Xdha,Xanthine dehydrogenase subunit XdhA,PP_0815,R2,0,1.00E-05,-5
Q88F21,Q88F21_PSEPK,Xdha,Xanthine dehydrogenase subunit XdhA,PP_0815,R3,0,1.00E-05,-5
Q88F22,Q88F22_PSEPK,Pp_4277,"Transcriptional regulator, GntR family",PP_0815,R1,0,1.00E-05,-5
Q88F22,Q88F22_PSEPK,Pp_4277,"Transcriptional regulator, GntR family",PP_0815,R2,0,1.00E-05,-5
Q88F22,Q88F22_PSEPK,Pp_4277,"Transcriptional regulator, GntR family",PP_0815,R3,0,1.00E-05,-5
Q88F24,ZIPA_PSEPK,Zipa,Cell division protein ZipA,PP_0815,R1,0,1.00E-05,-5
Q88F24,ZIPA_PSEPK,Zipa,Cell division protein ZipA,PP_0815,R2,209129.7333,0.040751676,-1.389854523
Q88F24,ZIPA_PSEPK,Zipa,Cell division protein ZipA,PP_0815,R3,159337,0.034473801,-1.462510825
Q88F25,DNLJ_PSEPK,Liga,DNA ligase,PP_0815,R1,0,1.00E-05,-5
Q88F25,DNLJ_PSEPK,Liga,DNA ligase,PP_0815,R2,37247.66667,0.007258197,-2.139171234
Q88F25,DNLJ_PSEPK,Liga,DNA ligase,PP_0815,R3,0,1.00E-05,-5
Q88F30,Q88F30_PSEPK,Dnax,DNA polymerase III subunit gamma/tau,PP_0815,R1,0,1.00E-05,-5
Q88F30,Q88F30_PSEPK,Dnax,DNA polymerase III subunit gamma/tau,PP_0815,R2,28090.46667,0.005473797,-2.261711352
Q88F30,Q88F30_PSEPK,Dnax,DNA polymerase III subunit gamma/tau,PP_0815,R3,0,1.00E-05,-5
Q88F31,Y4268_PSEPK,Pp_4268,Nucleoid-associated protein PP_4268,PP_0815,R1,0,1.00E-05,-5
Q88F31,Y4268_PSEPK,Pp_4268,Nucleoid-associated protein PP_4268,PP_0815,R2,0,1.00E-05,-5
Q88F31,Y4268_PSEPK,Pp_4268,Nucleoid-associated protein PP_4268,PP_0815,R3,0,1.00E-05,-5
Q88F33,APT_PSEPK,Apt,Adenine phosphoribosyltransferase,PP_0815,R1,0,1.00E-05,-5
Q88F33,APT_PSEPK,Apt,Adenine phosphoribosyltransferase,PP_0815,R2,45224.33333,0.008812556,-2.054898133
Q88F33,APT_PSEPK,Apt,Adenine phosphoribosyltransferase,PP_0815,R3,26760.93333,0.005789936,-2.237326205
Q88F34,Q88F34_PSEPK,Fnra,DNA-binding transcriptional dual regulator,PP_0815,R1,0,1.00E-05,-5
Q88F34,Q88F34_PSEPK,Fnra,DNA-binding transcriptional dual regulator,PP_0815,R2,61604.96667,0.012004537,-1.920654579
Q88F34,Q88F34_PSEPK,Fnra,DNA-binding transcriptional dual regulator,PP_0815,R3,0,1.00E-05,-5
Q88F38,Q88F38_PSEPK,Pp_4261,Cation-transporting P-type ATPase,PP_0815,R1,0,1.00E-05,-5
Q88F38,Q88F38_PSEPK,Pp_4261,Cation-transporting P-type ATPase,PP_0815,R2,0,1.00E-05,-5
Q88F38,Q88F38_PSEPK,Pp_4261,Cation-transporting P-type ATPase,PP_0815,R3,0,1.00E-05,-5
Q88F39,Q88F39_PSEPK,Pp_4260,FixH family protein,PP_0815,R1,0,1.00E-05,-5
Q88F39,Q88F39_PSEPK,Pp_4260,FixH family protein,PP_0815,R2,16812,0.003276039,-2.484650925
Q88F39,Q88F39_PSEPK,Pp_4260,FixH family protein,PP_0815,R3,17579.86667,0.003803541,-2.419811884
Q88F40,Q88F40_PSEPK,Pp_4259,Iron-sulfur cluster-binding protein,PP_0815,R1,0,1.00E-05,-5
Q88F40,Q88F40_PSEPK,Pp_4259,Iron-sulfur cluster-binding protein,PP_0815,R2,0,1.00E-05,-5
Q88F40,Q88F40_PSEPK,Pp_4259,Iron-sulfur cluster-binding protein,PP_0815,R3,0,1.00E-05,-5
Q88F41,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815,R1,0,1.00E-05,-5
Q88F41,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815,R2,0,1.00E-05,-5
Q88F41,Q88F41_PSEPK,Ccop-ii,Cbb3-type cytochrome c oxidase subunit,PP_0815,R3,0,1.00E-05,-5
Q88F43,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815,R1,0,1.00E-05,-5
Q88F43,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815,R2,44416,0.008655041,-2.062730862
Q88F43,Q88F43_PSEPK,Ccoo-ii,"Cytochrome c oxidase subunit, cbb3-type",PP_0815,R3,33791.33333,0.007311018,-2.136022132
Q88F44,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815,R1,0,1.00E-05,-5
Q88F44,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815,R2,0,1.00E-05,-5
Q88F44,Q88F44_PSEPK,Ccon-ii,cytochrome-c oxidase,PP_0815,R3,0,1.00E-05,-5
Q88F48,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815,R1,0,1.00E-05,-5
Q88F48,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815,R2,100435.6667,0.019571209,-1.70838234
Q88F48,Q88F48_PSEPK,Ccoo-i,"Cytochrome c oxidase subunit, cbb3-type",PP_0815,R3,0,1.00E-05,-5
Q88F50,Q88F50_PSEPK,Pp_4249,KANL3/Tex30 alpha/beta hydrolase-like domain-containing protein,PP_0815,R1,0,1.00E-05,-5
Q88F50,Q88F50_PSEPK,Pp_4249,KANL3/Tex30 alpha/beta hydrolase-like domain-containing protein,PP_0815,R2,0,1.00E-05,-5
Q88F50,Q88F50_PSEPK,Pp_4249,KANL3/Tex30 alpha/beta hydrolase-like domain-containing protein,PP_0815,R3,0,1.00E-05,-5
Q88F51,PPNP_PSEPK,Ppnp,Pyrimidine/purine nucleoside phosphorylase,PP_0815,R1,0,1.00E-05,-5
Q88F51,PPNP_PSEPK,Ppnp,Pyrimidine/purine nucleoside phosphorylase,PP_0815,R2,94680,0.018449642,-1.734012057
Q88F51,PPNP_PSEPK,Ppnp,Pyrimidine/purine nucleoside phosphorylase,PP_0815,R3,28960.83333,0.006265902,-2.203016406
Q88F78,Q88F78_PSEPK,Pvdj,Non-ribosomal peptide synthetase (Subunit of ferribactin synthase),PP_0815,R1,0,1.00E-05,-5
Q88F78,Q88F78_PSEPK,Pvdj,Non-ribosomal peptide synthetase (Subunit of ferribactin synthase),PP_0815,R2,0,1.00E-05,-5
Q88F78,Q88F78_PSEPK,Pvdj,Non-ribosomal peptide synthetase (Subunit of ferribactin synthase),PP_0815,R3,0,1.00E-05,-5
Q88F81,Q88F81_PSEPK,Fpva,"Outer membrane ferripyoverdine receptor FpvA, TonB-dependent",PP_0815,R1,0,1.00E-05,-5
Q88F81,Q88F81_PSEPK,Fpva,"Outer membrane ferripyoverdine receptor FpvA, TonB-dependent",PP_0815,R2,155890.6667,0.030377345,-1.517450192
Q88F81,Q88F81_PSEPK,Fpva,"Outer membrane ferripyoverdine receptor FpvA, TonB-dependent",PP_0815,R3,0,1.00E-05,-5
Q88F95,Q88F95_PSEPK,Pp_4203,Electron transfer flavoprotein-ubiquinone oxidoreductase,PP_0815,R1,341238.6667,0.076384565,-1.116994392
Q88F95,Q88F95_PSEPK,Pp_4203,Electron transfer flavoprotein-ubiquinone oxidoreductase,PP_0815,R2,234618.3333,0.045718465,-1.339908361
Q88F95,Q88F95_PSEPK,Pp_4203,Electron transfer flavoprotein-ubiquinone oxidoreductase,PP_0815,R3,171867.6667,0.037184909,-1.42963328
Q88F96,Q88F96_PSEPK,Etfb,Electron transfer flavoprotein subunit beta,PP_0815,R1,927365.3333,0.207586081,-0.682801771
Q88F96,Q88F96_PSEPK,Etfb,Electron transfer flavoprotein subunit beta,PP_0815,R2,912702.3333,0.177852041,-0.749941146
Q88F96,Q88F96_PSEPK,Etfb,Electron transfer flavoprotein subunit beta,PP_0815,R3,933823,0.202039882,-0.694562894
Q88F97,Q88F97_PSEPK,Etfa,Electron transfer flavoprotein subunit alpha,PP_0815,R1,596056,0.133424147,-0.874765564
Q88F97,Q88F97_PSEPK,Etfa,Electron transfer flavoprotein subunit alpha,PP_0815,R2,723584.3333,0.140999914,-0.850781151
Q88F97,Q88F97_PSEPK,Etfa,Electron transfer flavoprotein subunit alpha,PP_0815,R3,537117.6667,0.116209592,-0.934758023
Q88F98,Q88F98_PSEPK,Pp_4200,Solute-binding protein family 3/N-terminal domain-containing protein,PP_0815,R1,0,1.00E-05,-5
Q88F98,Q88F98_PSEPK,Pp_4200,Solute-binding protein family 3/N-terminal domain-containing protein,PP_0815,R2,35507,0.006919005,-2.159956326
Q88F98,Q88F98_PSEPK,Pp_4200,Solute-binding protein family 3/N-terminal domain-containing protein,PP_0815,R3,0,1.00E-05,-5
Q88F99,Q88F99_PSEPK,Pp_4199,Lipoprotein,PP_0815,R1,0,1.00E-05,-5
Q88F99,Q88F99_PSEPK,Pp_4199,Lipoprotein,PP_0815,R2,0,1.00E-05,-5
Q88F99,Q88F99_PSEPK,Pp_4199,Lipoprotein,PP_0815,R3,0,1.00E-05,-5
Q88FA0,Q88FA0_PSEPK,Pp_4198,OmpA family protein,PP_0815,R1,35040,0.007843528,-2.105488531
Q88FA0,Q88FA0_PSEPK,Pp_4198,OmpA family protein,PP_0815,R2,23760.1,0.004629968,-2.334422042
Q88FA0,Q88FA0_PSEPK,Pp_4198,OmpA family protein,PP_0815,R3,0,1.00E-05,-5
Q88FA4,Q88FA4_PSEPK,Glta,Citrate synthase,PP_0815,R1,1155116,0.258566925,-0.587427029
Q88FA4,Q88FA4_PSEPK,Glta,Citrate synthase,PP_0815,R2,1248951.3,0.24337457,-0.613724802
Q88FA4,Q88FA4_PSEPK,Glta,Citrate synthase,PP_0815,R3,1232390,0.266637178,-0.574079295
Q88FA5,Q88FA5_PSEPK,Sdhc,Succinate dehydrogenase cytochrome b556 subunit,PP_0815,R1,0,1.00E-05,-5
Q88FA5,Q88FA5_PSEPK,Sdhc,Succinate dehydrogenase cytochrome b556 subunit,PP_0815,R2,73973.3,0.014414669,-1.841195313
Q88FA5,Q88FA5_PSEPK,Sdhc,Succinate dehydrogenase cytochrome b556 subunit,PP_0815,R3,27201.6,0.005885278,-2.230233011
Q88FA6,Q88FA6_PSEPK,Sdhd,Succinate dehydrogenase hydrophobic membrane anchor subunit,PP_0815,R1,153610.3333,0.034384903,-1.463632197
Q88FA6,Q88FA6_PSEPK,Sdhd,Succinate dehydrogenase hydrophobic membrane anchor subunit,PP_0815,R2,289917,0.056494137,-1.247996624
