Rank,Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method
862,Q88P71,Q88P71_PSEPK,Pp_0982,Uncharacterized protein,0.01578295
863,Q88CF3,DAPF_PSEPK,Dapf,Diaminopimelate epimerase,0.015777146
864,Q88MR4,CAPP_PSEPK,Ppc,Phosphoenolpyruvate carboxylase,0.015733454
865,Q88NZ3,Q88NZ3_PSEPK,Pp_1060,"Glutamate synthase, large subunit, putative",0.015731454
866,Q88P39,Q88P39_PSEPK,Pp_1014,Uncharacterized protein,0.015722965
867,Q88NS3,Q88NS3_PSEPK,Pp_1131,"Outer membrane lipoprotein, putative",0.015655659
868,Q88QV9,Q88QV9_PSEPK,Pp_0375,Prolyl oligopeptidase family protein,0.015647787
869,Q88I56,Q88I56_PSEPK,Pp_3145,Uncharacterized protein,0.015615157
870,Q88CH5,Q88CH5_PSEPK,Pp_5206,Membrane fusion protein,0.01561283
871,P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0.015548926
872,Q88PL7,TGT_PSEPK,Tgt,Queuine tRNA-ribosyltransferase,0.015536167
873,Q88Q05,Q88Q05_PSEPK,Pp_0693,Uncharacterized protein,0.015516267
874,Q88QB0,Q88QB0_PSEPK,Pp_0584,Methyl-accepting chemotaxis transducer,0.01550579
875,Q88RE7,Q88RE7_PSEPK,Pp_0183,Glutathione S-transferase family protein,0.015491273
876,Q88DM5,LIPA_PSEPK,Lipa,Lipoyl synthase,0.015481143
877,Q88KS0,Q88KS0_PSEPK,Pp_2220,"C4-type zinc finger protein, DksA/TraR family",0.01547328
878,Q88DB6,Q88DB6_PSEPK,Pp_4911,Uncharacterized protein,0.015470463
879,Q88E26,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,0.015462513
880,Q88C93,ALGC_PSEPK,Algc,Phosphomannomutase/phosphoglucomutase,0.015441826
881,Q88D90,Q88D90_PSEPK,Pp_4937,Toluene tolerance protein,0.015378938
882,Q88PL0,Q88PL0_PSEPK,Cyse,Serine O-acetyltransferase,0.015353925
883,Q88KI0,Q88KI0_PSEPK,Pp_2310,Methyl-accepting chemotaxis transducer,0.015340901
884,Q88RK5,ENGB_PSEPK,Engb,Probable GTP-binding protein EngB,0.015253963
885,Q88F43,Q88F43_PSEPK,Ccoo-2,"Cytochrome c oxidase, cbb3-type, subunit II",0.015213297
886,Q88QF2,EUTC_PSEPK,Eutc,Ethanolamine ammonia-lyase light chain,0.015172802
887,Q88L37,Q88L37_PSEPK,Dacb,D-alanyl-D-alanine carboxypeptidase,0.015167931
888,Q88PL8,QUEA_PSEPK,Quea,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,0.015157718
889,Q88PF7,Q88PF7_PSEPK,Pp_0893,ThiJ/PfpI family protein,0.015135941
890,Q88ME8,Q88ME8_PSEPK,Rpos,RNA polymerase sigma factor RpoS,0.015006879
891,Q88M48,Q88M48_PSEPK,Pp_1726,"ABC transporter, periplasmic binding protein",0.014987033
892,Q88D51,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,0.014961007
893,Q88MS0,Q88MS0_PSEPK,Pp_1499,Uncharacterized protein,0.014960468
894,Q88D77,Q88D77_PSEPK,Pp_4950,Uncharacterized protein,0.014922013
895,Q88BZ1,Q88BZ1_PSEPK,Pp_5392,Uncharacterized protein,0.01484324
896,Q88LX7,Q88LX7_PSEPK,Rmd,Oxidoreductase Rmd,0.014835389
897,Q88PX3,Q88PX3_PSEPK,Pp_0725,TPR domain protein,0.014833355
898,Q88N92,Q88N92_PSEPK,Sspa,Stringent starvation protein A,0.014772651
899,Q88NH9,Q88NH9_PSEPK,Pp_1230,Uncharacterized protein,0.014748276
900,Q88FE7,Q88FE7_PSEPK,Pp_4150,"Peptide ABC transporter, ATP-binding protein",0.014732959
901,Q88EI6,Q88EI6_PSEPK,Pp_4476,Uncharacterized protein,0.014700219
902,Q88DW8,PANC_PSEPK,Panc,Pantothenate synthetase,0.014698033
903,Q88K05,Q88K05_PSEPK,Pp_2488,"Succinic-semialdehyde dehydrogenase, putative",0.014696044
904,Q88HV5,Q88HV5_PSEPK,Pp_3248,Dyp-type peroxidase family protein,0.014694245
905,Q88K30,Q88K30_PSEPK,Pp_2462,Uncharacterized protein,0.014680332
906,Q88F18,Q88F18_PSEPK,Gad,Guanine aminohydrolase,0.014662407
907,Q88Q97,Q88Q97_PSEPK,Mmsa-1,Methylmalonate-semialdehyde dehydrogenase,0.014626197
908,Q88EA3,Q88EA3_PSEPK,Pp_4563,Uncharacterized protein,0.014558059
909,Q88RW8,MNMG_PSEPK,Mnmg,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,0.014550769
910,Q88EQ0,Q88EQ0_PSEPK,Bkdb,"2-oxoisovalerate dehydrogenase, lipoamide acyltransferase component",0.014534499
911,Q88FH1,NUOH_PSEPK,Nuoh,NADH-quinone oxidoreductase subunit H,0.014510579
912,Q88LR3,Q88LR3_PSEPK,Pp_1866,"Phospho-2-dehydro-3-deoxyheptonate aldolase, class II",0.014497528
913,Q88N27,OADC_PSEPK,Pp_1389,Oxaloacetate decarboxylase,0.014492813
914,Q88FA0,Q88FA0_PSEPK,Pp_4198,OmpA family protein,0.014405434
915,Q88QW4,Q88QW4_PSEPK,Pp_0370,Acyl-CoA dehydrogenase family protein,0.014400971
916,Q88L09,Q88L09_PSEPK,Chev-2,Chemotaxis protein CheV,0.014394507
917,Q88RA5,Q88RA5_PSEPK,Pp_0228,Serine acetyltransferase,0.01438048
918,Q88E27,Q88E27_PSEPK,Csta,Carbon starvation protein CstA,0.0143442
919,Q88CU6,Q88CU6_PSEPK,Pp_5084,Penicillin-binding protein,0.014314821
920,Q88MB1,Q88MB1_PSEPK,Pp_1663,Uncharacterized protein,0.014135964
921,Q88RE6,Q88RE6_PSEPK,Ppra,Alginate biosynthesis protein PprA,0.014129245
922,Q88D75,Q88D75_PSEPK,Dbpa,ATP-dependent RNA helicase DbpA,0.014097213
923,Q88KN3,Q88KN3_PSEPK,Aer-1,Aerotaxis receptor Aer-1,0.014056635
924,Q88F05,Q88F05_PSEPK,Pp_4295,"Transcriptional regulator, TetR family",0.014051331
925,Q88DK7,PRMA_PSEPK,Prma,Ribosomal protein L11 methyltransferase,0.014041592
926,Q88MF5,Q88MF5_PSEPK,Pp_1616,D-isomer specific 2-hydroxyacid dehydrogenase family protein,0.014021628
927,Q88DV5,RIMP_PSEPK,Rimp,Ribosome maturation factor RimP,0.01400649
928,Q88E35,Q88E35_PSEPK,Pp_4633,Uncharacterized protein,0.013971267
929,Q88MP8,Q88MP8_PSEPK,Cspa-1,Cold shock protein CspA,0.013965886
930,Q88DW1,Q88DW1_PSEPK,Pp_4707,OsmY-related protein,0.013943975
931,Q88NN0,Q88NN0_PSEPK,Nrdb,Ribonucleoside-diphosphate reductase subunit beta,0.013937435
932,Q88MX4,Q88MX4_PSEPK,Gcd,Glucose dehydrogenase (Pyrroloquinoline-quinone),0.013912991
933,Q88QH1,RIBA_PSEPK,Riba,GTP cyclohydrolase-2,0.013887667
934,Q88LX0,KDSA2_PSEPK,Kdsa2,2-dehydro-3-deoxyphosphooctonate aldolase 2,0.013845415
935,Q88KX3,Q88KX3_PSEPK,Pp_2166,Anti-anti-sigma factor,0.013814663
936,Q88NY5,Q88NY5_PSEPK,Pp_1068,"Amino acid ABC transporter, ATP-binding protein",0.013790717
937,Q88F98,Q88F98_PSEPK,Pp_4200,Uncharacterized protein,0.01377111
938,Q88E22,Q88E22_PSEPK,Pp_4646,"Ferredoxin--NADP+ reductase, putative",0.013732648
939,Q88RR4,Q88RR4_PSEPK,Trka,Potassium uptake protein TrkA,0.013724481
940,Q88CL2,CYSA_PSEPK,Cysa,Sulfate/thiosulfate import ATP-binding protein CysA,0.013705184
941,Q88EY2,Q88EY2_PSEPK,Pp_4319,Uncharacterized protein,0.013697127
942,Q88N76,MURG_PSEPK,Murg,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,0.013663794
943,Q88DB7,Q88DB7_PSEPK,Pp_4910,Uncharacterized protein,0.013636633
944,Q88PT9,Q88PT9_PSEPK,Pp_0759,Uncharacterized protein,0.013614314
945,Q88NB4,Q88NB4_PSEPK,Aapq,"General amino acid ABC transporter, permease protein",0.01354805
946,Q88C30,Q88C30_PSEPK,Pp_5353,Uncharacterized protein,0.013538446
947,Q88CF6,CYAY_PSEPK,Cyay,Protein CyaY,0.013523313
948,Q88P97,Q88P97_PSEPK,Lptc,Lipopolysaccharide export system protein LptC,0.013465266
949,Q88J03,UREE_PSEPK,Uree,Urease accessory protein UreE,0.0134465
950,Q88N44,Q88N44_PSEPK,Pp_1372,Uncharacterized protein,0.013431891
951,Q88PL1,Q88PL1_PSEPK,Trmj,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,0.013397063
952,Q88EY4,Q88EY4_PSEPK,Pp_4316,D-isomer specific 2-hydroxyacid dehydrogenase family protein,0.013282422
953,Q88IY2,Q88IY2_PSEPK,Pp_2867,Pyridine nucleotide-disulphide oxidoreductase family protein,0.013267722
954,Q88DD9,Q88DD9_PSEPK,Pp_4888,"Methyl-accepting chemotaxis transducer, putative",0.013262286
955,Q88L48,Q88L48_PSEPK,Cmpx,CmpX protein,0.01318903
956,Q88CS0,Q88CS0_PSEPK,Ftse,"Cell division ABC transporter, ATP-binding protein FtsE",0.013168182
957,Q88NL0,RIMO_PSEPK,Rimo,Ribosomal protein S12 methylthiotransferase RimO,0.013165694
958,Q88RS7,Q88RS7_PSEPK,Pp_0052,Metallo-beta-lactamase family protein,0.013147035
959,Q88F39,Q88F39_PSEPK,Pp_4260,Uncharacterized protein,0.013043648
960,Q88PW5,RF1_PSEPK,Prfa,Peptide chain release factor 1,0.013023142
961,Q88LY6,Q88LY6_PSEPK,Pp_1790,"Acylneuraminate cytidylyltransferase, putative",0.012927135
962,Q88NR7,Q88NR7_PSEPK,Braf,"Branched-chain amino acid ABC transporter, ATP-binding protein",0.012806732
963,Q88PU2,Q88PU2_PSEPK,Pp_0756,Uncharacterized protein,0.012783194
964,Q88CT3,METX_PSEPK,Metx,Homoserine O-acetyltransferase,0.01275057
965,Q88KI2,Q88KI2_PSEPK,Pp_2308,"Acyl-CoA thioesterase II, putative",0.012717375
966,Q88QB3,Q88QB3_PSEPK,Pp_0581,3-oxoacyl-(Acyl-carrier-protein) reductase,0.012666233
967,Q88JI1,Q88JI1_PSEPK,Pp_2668,"ABC efflux transporter, ATP-binding protein",0.012645294
968,Q88L54,PSRP_PSEPK,Pp_2081,Putative phosphoenolpyruvate synthase regulatory protein,0.012601864
969,Q88QD4,AROQ1_PSEPK,Aroq1,3-dehydroquinate dehydratase 1,0.012559113
970,Q88RG3,Q88RG3_PSEPK,Pp_0167,Toxin secretion ATP-binding protein,0.012549335
971,Q88QE4,Q88QE4_PSEPK,Pp_0550,Uncharacterized protein,0.012549237
972,Q88EI0,Q88EI0_PSEPK,Pp_4483,"Basic amino acid ABC transporter, ATP-binding protein",0.012484791
973,Q88E40,Q88E40_PSEPK,Mioc,MioC protein,0.01246833
974,Q88NU1,Q88NU1_PSEPK,Pp_1113,Pyridoxal-phosphate dependent enzyme family protein,0.012450963
975,Q88MC0,Q88MC0_PSEPK,Cysm,Cysteine synthase,0.012438281
976,Q88DU0,Q88DU0_PSEPK,Recn,DNA repair protein RecN,0.012411792
977,Q88N31,TTGB_PSEPK,Ttgb,Probable efflux pump membrane transporter TtgB,0.012390057
978,Q88P55,Q88P55_PSEPK,Pp_0998,Uncharacterized protein,0.012368796
979,Q88R38,Q88R38_PSEPK,Pp_0296,"Glycine betaine/L-proline ABC transporter, periplasmic binding protein",0.012365769
980,Q88NP5,Q88NP5_PSEPK,Pp_1162,Glutathione S-transferase family protein,0.012362618
981,Q88N89,Q88N89_PSEPK,Gmha,Phosphoheptose isomerase,0.012359643
982,Q88CR8,Q88CR8_PSEPK,Pp_5112,"Zinc protease, putative",0.012314765
983,Q88H16,Q88H16_PSEPK,Emra,Multidrug efflux MFS membrane fusion protein,0.012296938
984,Q88F40,Q88F40_PSEPK,Pp_4259,Iron-sulfur cluster-binding protein,0.012279369
985,Q88L15,Q88L15_PSEPK,Moab-1,Molybdenum cofactor biosynthesis protein B,0.0122776
986,Q88E23,MSCL_PSEPK,Mscl,Large-conductance mechanosensitive channel,0.012260779
987,Q88C87,KGUA_PSEPK,Gmk,Guanylate kinase,0.012245518
988,Q88DP1,THIE_PSEPK,Thie,Thiamine-phosphate synthase,0.012242385
989,Q88MY5,RNC_PSEPK,Rnc,Ribonuclease 3,0.01224012
990,Q88EH2,PHS_PSEPK,Phhb,Pterin-4-alpha-carbinolamine dehydratase,0.012207553
991,Q88Q93,Q88Q93_PSEPK,Ribf,Riboflavin biosynthesis protein,0.012144095
992,Q88DQ7,Q88DQ7_PSEPK,Pp_4766,"ATP-dependent RNA helicase, DEAD box family",0.012139079
993,Q88PP9,Q88PP9_PSEPK,Pp_0799,"Porin, putative",0.012101273
994,Q88HF5,Q88HF5_PSEPK,Pp_3404,Uncharacterized protein,0.012085914
995,Q88N63,Q88N63_PSEPK,Pp_1353,Uncharacterized protein,0.012065967
996,Q88Q83,Q88Q83_PSEPK,Pp_0612,"Oxidoreductase, FAD-binding",0.012053964
997,Q88EI7,ASTE_PSEPK,Aste,Succinylglutamate desuccinylase,0.012035503
998,Q88Q41,Q88Q41_PSEPK,Pp_0657,"Amino acid ABC transporter, periplasmic amino acid-binding protein, putative",0.012018719
999,Q88QY0,Q88QY0_PSEPK,Pp_0354,CBS domain protein,0.012013131
1000,Q88EV9,Q88EV9_PSEPK,Flhf,Flagellar biosynthetic protein FlhF,0.012008135
1001,Q88DR3,Q88DR3_PSEPK,Pp_4760,"Alcohol dehydrogenase, zinc-containing",0.011989616
1002,Q88G98,Q88G98_PSEPK,Pp_3827,Uncharacterized protein,0.011986374
1003,Q88RJ6,ALGB_PSEPK,Algb,Alginate biosynthesis transcriptional regulatory protein AlgB,0.011959654
1004,Q88P96,Q88P96_PSEPK,Pp_0956,"Phosphatase, YrbI family",0.011892719
1005,Q88F13,Q88F13_PSEPK,Pp_4286,Polysaccharide deacetylase family protein,0.011870819
1006,Q88CL5,Q88CL5_PSEPK,Pp_5165,"Lipoprotein, putative",0.011855874
1007,Q88QV2,Q88QV2_PSEPK,Pp_0382,Carbon-nitrogen hydrolase family protein,0.011786102
1008,Q88EU5,Q88EU5_PSEPK,Flim,Flagellar motor switch protein FliM,0.011779589
1009,Q88I17,Q88I17_PSEPK,Pet18,Aminopyrimidine aminohydrolase,0.011753276
1010,Q88D09,Q88D09_PSEPK,Pp_5020,Methyl-accepting chemotaxis transducer,0.011723116
1011,Q88NY4,Q88NY4_PSEPK,Pp_1069,"Amino acid ABC transporter, permease protein",0.011701768
1012,Q88K69,Q88K69_PSEPK,Pp_2422,Alkyl hydroperoxide reductase AhpD,0.01167472
1013,Q88MP5,DAPE_PSEPK,Dape,Succinyl-diaminopimelate desuccinylase,0.011663834
1014,Q88PB6,Q88PB6_PSEPK,Mrec,Rod shape determining protein MreC,0.011627547
1015,Q88QJ1,Q88QJ1_PSEPK,Pp_0501,NAD-dependent epimerase/dehydratase family protein,0.011591354
1016,Q88Q72,Q88Q72_PSEPK,Pp_0624,Laccase domain protein,0.011579779
1017,Q88KD4,Q88KD4_PSEPK,Pp_2356,"Phytochrome family protein, putative",0.01157919
1018,Q88KZ5,Q88KZ5_PSEPK,Pp_2144,"Transcriptional regulator, TetR family",0.011537564
1019,Q88CF2,Q88CF2_PSEPK,Pp_5229,Uncharacterized protein,0.01150878
1020,Q88KB2,NFUA_PSEPK,Nfua,Fe/S biogenesis protein NfuA,0.011500104
1021,Q88RK7,Q88RK7_PSEPK,Pp_0122,Uncharacterized protein,0.011466495
1022,Q88PS9,Q88PS9_PSEPK,Pp_0769,Sensor histidine kinase,0.011463383
1023,Q88RE8,Q88RE8_PSEPK,Pp_0182,Uncharacterized protein,0.01145621
1024,Q88ET9,Q88ET9_PSEPK,Pp_4364,"Anti-sigma F factor antagonist, putative",0.011424162
1025,Q88D87,Q88D87_PSEPK,Pp_4940,Uncharacterized protein,0.011405876
1026,Q88IA4,Q88IA4_PSEPK,Pp_3095,"Chaperone-associated ATPase, putative",0.01140531
1027,Q88N58,Q88N58_PSEPK,Pp_1358,Uncharacterized protein,0.011392392
1028,Q88P93,Q88P93_PSEPK,Ttg2b,"Toluene tolerance ABC efflux transporter, permease",0.011327652
1029,Q88QT8,APAH_PSEPK,Apah,"Bis(5'-nucleosyl)-tetraphosphatase, symmetrical",0.011325655
1030,Q88MV5,RIMM_PSEPK,Rimm,Ribosome maturation factor RimM,0.011293365
1031,Q88F41,Q88F41_PSEPK,Ccop-2,Cbb3-type cytochrome c oxidase subunit,0.011236867
1032,Q88MG5,Q88MG5_PSEPK,Dnae,DNA-directed DNA polymerase,0.011206156
1033,Q88ES3,Q88ES3_PSEPK,Flgl,Flagellar hook-associated protein FlgL,0.01117634
1034,Q88JP8,Q88JP8_PSEPK,Pp_2601,"Transcriptional regulator, IclR family",0.011164175
1035,Q88EI5,ASTB_PSEPK,Astb,N-succinylarginine dihydrolase,0.011159329
1036,Q88I44,Q88I44_PSEPK,Pp_3157,Inositol monophosphatase family protein,0.011126634
1037,Q88JU7,Y2550_PSEPK,Pp_2550,Probable transcriptional regulatory protein PP_2550,0.011055213
1038,Q88MA8,Q88MA8_PSEPK,Pp_1666,Uncharacterized protein,0.011035364
1039,Q88CZ0,Q88CZ0_PSEPK,Pp_5039,Uncharacterized protein,0.011027731
1040,Q88LE2,Q88LE2_PSEPK,Pp_1992,Semialdehyde dehydrogenase family protein,0.011025172
1041,Q88QF1,Q88QF1_PSEPK,Eutb,"Ethanolamine ammonia-lyase, heavy subunit",0.010985038
1042,Q88M10,UBIG_PSEPK,Ubig,Ubiquinone biosynthesis O-methyltransferase,0.010946657
1043,Q88E96,Q88E96_PSEPK,Pp_4570,Uncharacterized protein,0.010926069
1044,Q88PQ3,Q88PQ3_PSEPK,Frua,"Phosphotransferase system, fructose-specific IIBC component",0.010895313
1045,Q88MR0,Q88MR0_PSEPK,Pp_1510,"Carboxyvinyl-carboxyphosphonate phosphorylmutase, putative",0.010886122
1046,Q88F21,Q88F21_PSEPK,Xdha,"Xanthine dehydrogenase, XdhA subunit",0.010883484
1047,Q88NB0,Q88NB0_PSEPK,Pp_1302,GTP cyclohydrolase 1 type 2 homolog,0.010878349
1048,Q88RJ0,Q88RJ0_PSEPK,Pp_0139,"Lipoprotein, putative",0.010848025
1049,Q88H70,Q88H70_PSEPK,Pp_3491,Enoly-coenzyme A hydratase/isomerase family protein,0.010838112
1050,Q88KL3,Q88KL3_PSEPK,Pp_2277,Uncharacterized protein,0.010833674
1051,Q88KD5,Q88KD5_PSEPK,Pp_2355,Response regulator,0.010801394
1052,Q88DW4,Q88DW4_PSEPK,Pp_4704,Uncharacterized protein,0.010796006
1053,Q88C04,Q88C04_PSEPK,Copb,Copper resistance protein B,0.010790969
1054,Q88C89,RNPH_PSEPK,Rph,Ribonuclease PH,0.010725773
1055,Q88D88,Q88D88_PSEPK,Pp_4939,Uncharacterized protein,0.010719751
1056,Q88QV8,PQQE_PSEPK,Pqqe,Coenzyme PQQ synthesis protein E,0.010709145
1057,Q88I74,Q88I74_PSEPK,Pp_3127,"Exopolysaccharide transport protein, putative",0.010678279
1058,Q88CW7,BETB_PSEPK,Betb,NAD/NADP-dependent betaine aldehyde dehydrogenase,0.010642404
1059,Q88P80,NDPA_PSEPK,Pp_0973,Nucleoid-associated protein PP_0973,0.010608982
1060,Q88D92,MSBA_PSEPK,Msba,Lipid A export ATP-binding/permease protein MsbA,0.010592267
1061,Q88R51,Q88R51_PSEPK,Pp_0283,"Amino acid ABC transporter, ATP-binding protein",0.010582467
1062,Q88IV9,Q88IV9_PSEPK,Xtha,Exodeoxyribonuclease III,0.010578424
1063,Q88CY4,THII_PSEPK,Thii,tRNA sulfurtransferase,0.010564326
1064,Q88DN6,YBEY_PSEPK,Ybey,Endoribonuclease YbeY,0.010560789
1065,Q88PB1,Q88PB1_PSEPK,Pp_0939,Carbon-nitrogen hydrolase family protein,0.010551065
1066,Q88EI2,Q88EI2_PSEPK,Aruf,Arginine N-succinyltransferase,0.010523909
1067,Q88PQ1,Q88PQ1_PSEPK,Pp_0797,Uncharacterized protein,0.010495626
1068,Q88C45,Q88C45_PSEPK,Aspa,Aspartate ammonia-lyase,0.01049383
1069,Q88CN9,TYSY_PSEPK,Thya,Thymidylate synthase,0.010447549
1070,Q88NK0,Q88NK0_PSEPK,Pp_1207,Uncharacterized protein,0.010420779
1071,Q88N94,Q88N94_PSEPK,Petb,Cytochrome b,0.010395268
1072,Q88Q65,COAE_PSEPK,Coae,Dephospho-CoA kinase,0.010370864
1073,Q88JV2,Q88JV2_PSEPK,Pp_2545,"Trans-aconitate methyltransferase, putative",0.010369731
1074,Q88DC5,ORN_PSEPK,Orn,Oligoribonuclease,0.010347176
1075,Q88E83,Q88E83_PSEPK,Pp_4583,"Peptidase, putative",0.010331389
1076,Q88CI7,GCST_PSEPK,Gcvt,Aminomethyltransferase,0.010329848
1077,Q88LW1,Q88LW1_PSEPK,Pp_1816,"Alcohol dehydrogenase, zinc-containing",0.01031443
1078,Q88ER1,CHER2_PSEPK,Cher2,Chemotaxis protein methyltransferase Cher2,0.010310886
1079,Q88L76,Y2059_PSEPK,Pp_2059,UPF0337 protein PP_2059,0.0103053
1080,Q88L08,Q88L08_PSEPK,Pp_2129,Uncharacterized protein,0.010303758
1081,Q88MT0,Q88MT0_PSEPK,Pp_1488,Methyl-accepting chemotaxis transducer,0.010256846
1082,Q88MH4,DXR_PSEPK,Dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,0.01024981
1083,Q88JI3,Q88JI3_PSEPK,Pp_2666,Uncharacterized protein,0.010249729
1084,Q88NY3,Q88NY3_PSEPK,Pp_1070,"Amino acid ABC transporter, permease protein",0.010242284
1085,Q88F12,Q88F12_PSEPK,Pp_4287,Uncharacterized protein,0.010224101
1086,Q88FU4,Q88FU4_PSEPK,Pp_3988,Uncharacterized protein,0.010197304
1087,Q88RQ5,Q88RQ5_PSEPK,Aroe-1,Shikimate dehydrogenase (NADP(+)),0.010196516
1088,Q88D58,Q88D58_PSEPK,Pp_4969,Uncharacterized protein,0.010193617
1089,Q88MB6,Q88MB6_PSEPK,Pp_1658,Uncharacterized protein,0.010171583
1090,Q88K43,Q88K43_PSEPK,Pp_2449,Uncharacterized protein,0.010156192
1091,Q88I16,Q88I16_PSEPK,Pp_3186,"Transcriptional activator, putative",0.010146414
1092,Q88FF0,Q88FF0_PSEPK,Pp_4147,"Peptide ABC transporter, periplamic peptide-binding protein",0.010138199
1093,Q88PS1,Q88PS1_PSEPK,Pp_0777,Glutathione peroxidase,0.010093041
1094,Q88H18,Q88H18_PSEPK,Pp_3547,"Oxidoreductase, short chain dehydrogenase/reductase family",0.010083138
1095,Q88KB4,Q88KB4_PSEPK,Cti,Esterified fatty acid cis/trans isomerase,0.010079269
1096,P0A130,Y1224_PSEPK,Pp_1224,Uncharacterized protein PP_1224,0.010075455
1097,Q88FI4,EFG2_PSEPK,Fusb,Elongation factor G 2,0.010062931
1098,Q88MF1,SURE_PSEPK,Sure,5'-nucleotidase SurE,0.010055519
1099,Q88RD6,Q88RD6_PSEPK,Pp_0196,"ABC transporter, ATP-binding protein, putative",0.010044131
1100,Q88N36,Q88N36_PSEPK,Pcad,3-oxoadipate enol-lactone hydrolase,0.010013343
1101,Q88QJ2,Q88QJ2_PSEPK,Pp_0500,dTDP-4-rhamnose reductase-related protein,0.010012905
1102,Q88DX6,Q88DX6_PSEPK,Pp_4692,"Aminotransferase, class I",0.009964767
1103,Q88I99,Q88I99_PSEPK,Pp_3100,Uncharacterized protein,0.009947059
1104,Q88DK8,Q88DK8_PSEPK,Pp_4817,MaoC domain protein,0.009944692
1105,Q88FX8,NICB_PSEPK,Nicb,Nicotinate dehydrogenase subunit B,0.009915312
1106,Q88HJ7,Q88HJ7_PSEPK,Pp_3359,"Hydroxycinnamic acid degradation regulator, putative",0.009901657
1107,Q88DV0,RLME_PSEPK,Rlme,Ribosomal RNA large subunit methyltransferase E,0.009900431
1108,Q88PW3,Q88PW3_PSEPK,Pp_0735,"Molybdopterin biosynthesis MoeB protein, putative",0.009878922
1109,Q88PU9,Q88PU9_PSEPK,Pp_0749,Uncharacterized protein,0.009848123
1110,Q88GL4,Q88GL4_PSEPK,Pp_3707,Uncharacterized protein,0.009832979
1111,Q88JW1,Q88JW1_PSEPK,Pp_2536,Glutathione S-transferase family protein,0.009779708
1112,Q88GL6,Q88GL6_PSEPK,Pp_3705,Uncharacterized protein,0.009763344
1113,Q88QT7,APAG_PSEPK,Apag,Protein ApaG,0.009759143
1114,Q88RF7,Q88RF7_PSEPK,Pp_0173,Transcriptional factor-related protein,0.009756699
1115,Q88F48,Q88F48_PSEPK,Ccoo-1,"Cytochrome c oxidase, cbb3-type, subunit II",0.009747812
1116,Q9Z408,CSD_PSEPK,Csda,Probable cysteine desulfurase,0.009734621
1117,Q88KY4,LOLD_PSEPK,Lold,Lipoprotein-releasing system ATP-binding protein LolD,0.009713258
1118,Q88N18,Q88N18_PSEPK,Pp_1398,Uncharacterized protein,0.009701569
1119,Q88F44,Q88F44_PSEPK,Ccon-2,"Cytochrome c oxidase, cbb3-type, subunit I",0.009701491
1120,Q88E36,Q88E36_PSEPK,Pp_4632,"Oxidoreductase, short-chain dehydrogenase/reductase family",0.009699542
1121,Q88IN0,Q88IN0_PSEPK,Pp_2969,Uncharacterized protein,0.009687548
1122,Q88PD6,Q88PD6_PSEPK,Pp_0914,GGDEF domain protein,0.009683
1123,Q88RT3,Q88RT3_PSEPK,Pp_0046,"Porin, putative",0.009681532
1124,Q88E49,Q88E49_PSEPK,Pp_4619,"Maleylacetoacetate isomerase, putative",0.00967724
1125,Q88CR6,Q88CR6_PSEPK,Pp_5114,Ribosomal RNA small subunit methyltransferase D,0.009643255
1126,Q88RL8,Q88RL8_PSEPK,Pp_0111,Sco1/SenC family protein,0.00958752
1127,Q88DC4,RSGA_PSEPK,Rsga,Putative ribosome biogenesis GTPase RsgA,0.009563793
1128,Q88KT1,PHNX_PSEPK,Phnx,Phosphonoacetaldehyde hydrolase,0.009563648
1129,Q88C51,Q88C51_PSEPK,Pp_5332,Uncharacterized protein,0.009557764
1130,Q88DC2,Q88DC2_PSEPK,Pp_4905,"Motility protein, MotA family",0.009536732
1131,Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,0.009497487
1132,Q88F99,Q88F99_PSEPK,Pp_4199,"Lipoprotein, putative",0.009474399
1133,Q88CF8,Q88CF8_PSEPK,Rnk,Nucleoside diphosphate kinase regulator,0.009470459
1134,Q88EQ1,Q88EQ1_PSEPK,Bkda2,"2-oxoisovalerate dehydrogenase, beta subunit",0.009453396
1135,Q88NJ3,Y1214_PSEPK,Pp_1214,Probable transcriptional regulatory protein PP_1214,0.009373023
1136,Q88PW4,Q88PW4_PSEPK,Hemk,Release factor glutamine methyltransferase,0.009366074
1137,Q88DK6,Q88DK6_PSEPK,Pp_4819,Uncharacterized protein,0.009356075
1138,Q88FF3,GLO2_PSEPK,Glob,Hydroxyacylglutathione hydrolase,0.009338973
1139,Q88MI2,GLND_PSEPK,Glnd,Bifunctional uridylyltransferase/uridylyl-removing enzyme,0.009326923
1140,Q88RI9,Q88RI9_PSEPK,Pp_0140,Uncharacterized protein,0.009303167
1141,Q88DW9,PANB_PSEPK,Panb,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.009301181
