Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
ubiD,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,0.017206041833333335,818.0
mlaF,Q88P94_PSEPK,Ttg2a,"Toluene tolerance ABC efflux transporter, ATP-binding protein",0.017113301388888887,819.0
PP_1821,Q88LV6_PSEPK,Pp_1821,Glutathione S-transferase family protein,0.017102187555555554,820.0
betA,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,0.0170654135,821.0
rng,Q88PB3_PSEPK,Cafa,Cytoplasmic axial filament protein,0.01704281438888889,822.0
PP_1057,Q88NZ6_PSEPK,Pp_1057,"Transcriptional regulator, PadR family",0.017035259,823.0
murD,MURD_PSEPK,Murd,UDP-N-acetylmuramoylalanine--D-glutamate ligase,0.017007360555555556,824.0
dcd,DCD_PSEPK,Dcd,Deoxycytidine triphosphate deaminase,0.016948342388888888,825.0
prmB,Q88LV0_PSEPK,Prmb,50S ribosomal protein L3 glutamine methyltransferase,0.01694536622222222,826.0
glpK,GLPK_PSEPK,Glpk,Glycerol kinase,0.016902861,827.0
bioD,Q88QW8_PSEPK,Biod,ATP-dependent dethiobiotin synthetase BioD,0.01690280311111111,828.0
PP_3603,Q88GW4_PSEPK,Pp_3603,"Transcriptional regulator, GntR family",0.01688553333333333,829.0
PP_2827,Q88J22_PSEPK,Pp_2827,"Alcohol dehydrogenase, zinc-containing",0.016821254944444444,830.0
trmA,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,0.016812827055555556,831.0
fruK,Q88PQ4_PSEPK,Fruk,Phosphofructokinase,0.016797421333333333,832.0
PP_3128,Q88I73_PSEPK,Pp_3128,"Exopolysaccharide biosynthesis/transport protein, putative",0.016740689166666666,833.0
nadB,Q88MZ2_PSEPK,Nadb,L-aspartate oxidase,0.016727752,834.0
yciK,Q88M12_PSEPK,Pp_1763,"Oxidoreductase, short chain dehydrogenase/reductase family",0.016707130666666667,835.0
PP_2793,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,0.016659094055555556,836.0
apt,APT_PSEPK,Apt,Adenine phosphoribosyltransferase,0.016634127166666665,837.0
yadG,Q88LN4_PSEPK,Pp_1895,"ABC transporter, ATP-binding protein",0.01662207077777778,838.0
nuoE,Q88FH4_PSEPK,Nuoe,"NADH dehydrogenase I, E subunit",0.016533699272727274,839.0
ydiJ,Q88EH0_PSEPK,Pp_4493,"Oxidoreductase, putative",0.016498394777777776,840.0
bktB,Q88GH0_PSEPK,Pp_3754,Beta-ketothiolase,0.016464072222222223,841.0
lptA,Q88P98_PSEPK,Lpta,Lipopolysaccharide export system protein LptA,0.01643430822222222,842.0
PP_1056,Q88NZ7_PSEPK,Pp_1056,"Iron-chelator utilization protein, putative",0.01640257388888889,843.0
rsmC,RSMC_PSEPK,Rsmc,Ribosomal RNA small subunit methyltransferase C,0.016362762555555556,844.0
PP_4448,Q88EL4_PSEPK,Pp_4448,Uncharacterized protein,0.016362442166666668,845.0
lipB,LIPB_PSEPK,Lipb,Octanoyltransferase,0.016290661444444444,846.0
PP_0640,Q88Q58_PSEPK,Pp_0640,Uncharacterized protein,0.01626556222222222,847.0
parE,Q88DB2_PSEPK,Pare,DNA topoisomerase 4 subunit B,0.01625653961111111,848.0
dnaX,Q88F30_PSEPK,Dnax,"DNA polymerase III, gamma and tau subunits",0.016197646722222223,849.0
PP_3415,Q88HE5_PSEPK,Pp_3415,"Transcriptional regulator, LacI family",0.016197113666666665,850.0
mcpG,Q88N45_PSEPK,Pp_1371,Methyl-accepting chemotaxis transducer,0.0161465075,851.0
PP_1399,Q88N17_PSEPK,Pp_1399,Uncharacterized protein,0.016039612388888888,852.0
PP_0852,Q88PJ8_PSEPK,Pp_0852,"Transcriptional regulator, Cro/CI family",0.01603485338888889,853.0
had,Q88CF0_PSEPK,Pp_5231,"Hydrolase, haloacid dehalogenase-like family",0.015901559055555556,854.0
PP_3901,Q88G25_PSEPK,Pp_3901,Uncharacterized protein,0.0158942215,855.0
PP_2663,Q88JI6_PSEPK,Pp_2663,Uncharacterized protein,0.015873176055555556,856.0
hupA,Q88C70_PSEPK,Hupa,DNA-binding protein HU-alpha,0.01581175461111111,857.0
PP_5365,Q88C18_PSEPK,Pp_5365,"Cyclopropane-fatty-acyl-phospholipid synthase, putative",0.015804691666666666,858.0
PP_2182,Q88KV7_PSEPK,Pp_2182,Uncharacterized protein,0.01578855388888889,859.0
PP_0982,Q88P71_PSEPK,Pp_0982,Uncharacterized protein,0.015782949888888887,860.0
dapF,DAPF_PSEPK,Dapf,Diaminopimelate epimerase,0.015777145944444446,861.0
ppc,CAPP_PSEPK,Ppc,Phosphoenolpyruvate carboxylase,0.01573345411111111,862.0
PP_1060,Q88NZ3_PSEPK,Pp_1060,"Glutamate synthase, large subunit, putative",0.015731454222222222,863.0
yihS,Q88P39_PSEPK,Pp_1014,Uncharacterized protein,0.01572296527777778,864.0
slyB,Q88NS3_PSEPK,Pp_1131,"Outer membrane lipoprotein, putative",0.015655659000000002,865.0
PP_0375,Q88QV9_PSEPK,Pp_0375,Prolyl oligopeptidase family protein,0.01564778688888889,866.0
PP_3145,Q88I56_PSEPK,Pp_3145,Uncharacterized protein,0.015615156666666666,867.0
yhiI,Q88CH5_PSEPK,Pp_5206,Membrane fusion protein,0.015612830000000001,868.0
PP_0002,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0.015548926444444444,869.0
tgt,TGT_PSEPK,Tgt,Queuine tRNA-ribosyltransferase,0.015536167222222223,870.0
PP_0693,Q88Q05_PSEPK,Pp_0693,Uncharacterized protein,0.015516266888888889,871.0
PP_0584,Q88QB0_PSEPK,Pp_0584,Methyl-accepting chemotaxis transducer,0.015505789944444444,872.0
PP_0183,Q88RE7_PSEPK,Pp_0183,Glutathione S-transferase family protein,0.01549127272222222,873.0
lipA,LIPA_PSEPK,Lipa,Lipoyl synthase,0.015481142944444446,874.0
PP_2220,Q88KS0_PSEPK,Pp_2220,"C4-type zinc finger protein, DksA/TraR family",0.015473279999999999,875.0
PP_4911,Q88DB6_PSEPK,Pp_4911,Uncharacterized protein,0.015470462999999999,876.0
PP_4642,Q88E26_PSEPK,Pp_4642,Cyclic diguanosine monophosphate-binding protein,0.015462512888888887,877.0
algC,ALGC_PSEPK,Algc,Phosphomannomutase/phosphoglucomutase,0.015441826,878.0
PP_4937,Q88D90_PSEPK,Pp_4937,Toluene tolerance protein,0.015378937666666667,879.0
cysE,Q88PL0_PSEPK,Cyse,Serine O-acetyltransferase,0.01535392511111111,880.0
PP_2310,Q88KI0_PSEPK,Pp_2310,Methyl-accepting chemotaxis transducer,0.01534090138888889,881.0
engB,ENGB_PSEPK,Engb,Probable GTP-binding protein EngB,0.015253963499999999,882.0
ccoO-II,Q88F43_PSEPK,Ccoo-2,"Cytochrome c oxidase, cbb3-type, subunit II",0.015213297277777779,883.0
eutC,EUTC_PSEPK,Eutc,Ethanolamine ammonia-lyase light chain,0.015172801611111111,884.0
dacB,Q88L37_PSEPK,Dacb,D-alanyl-D-alanine carboxypeptidase,0.015167931277777777,885.0
queA,QUEA_PSEPK,Quea,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,0.015157717888888887,886.0
PP_0893,Q88PF7_PSEPK,Pp_0893,ThiJ/PfpI family protein,0.015135941454545455,887.0
rpoS,Q88ME8_PSEPK,Rpos,RNA polymerase sigma factor RpoS,0.0150068785,888.0
PP_1726,Q88M48_PSEPK,Pp_1726,"ABC transporter, periplasmic binding protein",0.014987032722222222,889.0
metF,Q88D51_PSEPK,Metf,Methylenetetrahydrofolate reductase,0.014961007277777778,890.0
PP_1499,Q88MS0_PSEPK,Pp_1499,Uncharacterized protein,0.014960468222222224,891.0
PP_4950,Q88D77_PSEPK,Pp_4950,Uncharacterized protein,0.014922012666666666,892.0
PP_5392,Q88BZ1_PSEPK,Pp_5392,Uncharacterized protein,0.014843239777777779,893.0
rmd,Q88LX7_PSEPK,Rmd,Oxidoreductase Rmd,0.014835389499999999,894.0
PP_0725,Q88PX3_PSEPK,Pp_0725,TPR domain protein,0.014833354833333333,895.0
sspA,Q88N92_PSEPK,Sspa,Stringent starvation protein A,0.014772651222222223,896.0
PP_1230,Q88NH9_PSEPK,Pp_1230,Uncharacterized protein,0.014748275666666665,897.0
yejF,Q88FE7_PSEPK,Pp_4150,"Peptide ABC transporter, ATP-binding protein",0.014732958666666665,898.0
PP_4476,Q88EI6_PSEPK,Pp_4476,Uncharacterized protein,0.014700219388888889,899.0
panC,PANC_PSEPK,Panc,Pantothenate synthetase,0.014698033166666668,900.0
sad-I,Q88K05_PSEPK,Pp_2488,"Succinic-semialdehyde dehydrogenase, putative",0.014696043666666667,901.0
PP_3248,Q88HV5_PSEPK,Pp_3248,Dyp-type peroxidase family protein,0.014694244833333333,902.0
PP_2462,Q88K30_PSEPK,Pp_2462,Uncharacterized protein,0.01468033188888889,903.0
guaD,Q88F18_PSEPK,Gad,Guanine aminohydrolase,0.01466240661111111,904.0
mmsA-I,Q88Q97_PSEPK,Mmsa-1,Methylmalonate-semialdehyde dehydrogenase,0.014626197,905.0
PP_4563,Q88EA3_PSEPK,Pp_4563,Uncharacterized protein,0.014558058944444445,906.0
mnmG,MNMG_PSEPK,Mnmg,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,0.014550769388888888,907.0
bkdB,Q88EQ0_PSEPK,Bkdb,"2-oxoisovalerate dehydrogenase, lipoamide acyltransferase component",0.014534498722222221,908.0
nuoH,NUOH_PSEPK,Nuoh,NADH-quinone oxidoreductase subunit H,0.014510578777777776,909.0
aroH,Q88LR3_PSEPK,Pp_1866,"Phospho-2-dehydro-3-deoxyheptonate aldolase, class II",0.014497528333333334,910.0
PP_1389,OADC_PSEPK,Pp_1389,Oxaloacetate decarboxylase,0.014492812777777777,911.0
PP_4198,Q88FA0_PSEPK,Pp_4198,OmpA family protein,0.014405433833333333,912.0
PP_0370,Q88QW4_PSEPK,Pp_0370,Acyl-CoA dehydrogenase family protein,0.014400971222222222,913.0
PP_2128,Q88L09_PSEPK,Chev-2,Chemotaxis protein CheV,0.01439450688888889,914.0
PP_0228,Q88RA5_PSEPK,Pp_0228,Serine acetyltransferase,0.014380480499999999,915.0
yjiY,Q88E27_PSEPK,Csta,Carbon starvation protein CstA,0.014344200277777778,916.0
mrcA,Q88CU6_PSEPK,Pp_5084,Penicillin-binding protein,0.014314821277777778,917.0
PP_1663,Q88MB1_PSEPK,Pp_1663,Uncharacterized protein,0.014135964388888887,918.0
algR,Q88RE6_PSEPK,Ppra,Alginate biosynthesis protein PprA,0.014129244888888889,919.0
dbpA,Q88D75_PSEPK,Dbpa,ATP-dependent RNA helicase DbpA,0.01409721288888889,920.0
PP_2257,Q88KN3_PSEPK,Aer-1,Aerotaxis receptor Aer-1,0.014056635222222221,921.0
PP_4295,Q88F05_PSEPK,Pp_4295,"Transcriptional regulator, TetR family",0.014051331499999998,922.0
prmA,PRMA_PSEPK,Prma,Ribosomal protein L11 methyltransferase,0.014041591666666667,923.0
frmA,Q88MF5_PSEPK,Pp_1616,D-isomer specific 2-hydroxyacid dehydrogenase family protein,0.014021628333333333,924.0
rimP,RIMP_PSEPK,Rimp,Ribosome maturation factor RimP,0.014006489666666668,925.0
PP_4633,Q88E35_PSEPK,Pp_4633,Uncharacterized protein,0.01397126661111111,926.0
cspA-I,Q88MP8_PSEPK,Cspa-1,Cold shock protein CspA,0.013965886272727273,927.0
PP_4707,Q88DW1_PSEPK,Pp_4707,OsmY-related protein,0.013943974944444444,928.0
nrdB,Q88NN0_PSEPK,Nrdb,Ribonucleoside-diphosphate reductase subunit beta,0.01393743488888889,929.0
gcd,Q88MX4_PSEPK,Gcd,Glucose dehydrogenase (Pyrroloquinoline-quinone),0.013912991111111113,930.0
ribA,RIBA_PSEPK,Riba,GTP cyclohydrolase-2,0.013887666777777778,931.0
kdsA2,KDSA2_PSEPK,Kdsa2,2-dehydro-3-deoxyphosphooctonate aldolase 2,0.013845415166666666,932.0
PP_2166,Q88KX3_PSEPK,Pp_2166,Anti-anti-sigma factor,0.013814662642857143,933.0
gltL,Q88NY5_PSEPK,Pp_1068,"Amino acid ABC transporter, ATP-binding protein",0.013790717388888889,934.0
PP_4200,Q88F98_PSEPK,Pp_4200,Uncharacterized protein,0.013771110111111111,935.0
fpr-II,Q88E22_PSEPK,Pp_4646,"Ferredoxin--NADP+ reductase, putative",0.013732647722222222,936.0
trkA,Q88RR4_PSEPK,Trka,Potassium uptake protein TrkA,0.013724480666666667,937.0
cysA,CYSA_PSEPK,Cysa,Sulfate/thiosulfate import ATP-binding protein CysA,0.013705184,938.0
PP_4319,Q88EY2_PSEPK,Pp_4319,Uncharacterized protein,0.013697126944444445,939.0
murG,MURG_PSEPK,Murg,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,0.013663793833333333,940.0
PP_4910,Q88DB7_PSEPK,Pp_4910,Uncharacterized protein,0.013636633333333334,941.0
PP_0759,Q88PT9_PSEPK,Pp_0759,Uncharacterized protein,0.01361431361111111,942.0
yhdX,Q88NB4_PSEPK,Aapq,"General amino acid ABC transporter, permease protein",0.013548049999999999,943.0
PP_5353,Q88C30_PSEPK,Pp_5353,Uncharacterized protein,0.013538446166666667,944.0
cyaY,CYAY_PSEPK,Cyay,Protein CyaY,0.013523312857142856,945.0
lptC,Q88P97_PSEPK,Lptc,Lipopolysaccharide export system protein LptC,0.013465266166666667,946.0
ureE,UREE_PSEPK,Uree,Urease accessory protein UreE,0.013446500388888888,947.0
PP_1372,Q88N44_PSEPK,Pp_1372,Uncharacterized protein,0.013431890666666666,948.0
trmJ,Q88PL1_PSEPK,Trmj,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,0.013397063333333334,949.0
PP_4316,Q88EY4_PSEPK,Pp_4316,D-isomer specific 2-hydroxyacid dehydrogenase family protein,0.013282421777777779,950.0
PP_2867,Q88IY2_PSEPK,Pp_2867,Pyridine nucleotide-disulphide oxidoreductase family protein,0.013267721500000001,951.0
PP_4888,Q88DD9_PSEPK,Pp_4888,"Methyl-accepting chemotaxis transducer, putative",0.013262285833333333,952.0
cmpX,Q88L48_PSEPK,Cmpx,CmpX protein,0.013189029722222223,953.0
ftsE,Q88CS0_PSEPK,Ftse,"Cell division ABC transporter, ATP-binding protein FtsE",0.013168182055555555,954.0
rimO,RIMO_PSEPK,Rimo,Ribosomal protein S12 methylthiotransferase RimO,0.013165693555555556,955.0
PP_0052,Q88RS7_PSEPK,Pp_0052,Metallo-beta-lactamase family protein,0.013147035277777778,956.0
PP_4260,Q88F39_PSEPK,Pp_4260,Uncharacterized protein,0.013043647722222223,957.0
prfA,RF1_PSEPK,Prfa,Peptide chain release factor 1,0.013023141777777778,958.0
PP_1790,Q88LY6_PSEPK,Pp_1790,"Acylneuraminate cytidylyltransferase, putative",0.012927134714285715,959.0
livG,Q88NR7_PSEPK,Braf,"Branched-chain amino acid ABC transporter, ATP-binding protein",0.012806732111111111,960.0
PP_0756,Q88PU2_PSEPK,Pp_0756,Uncharacterized protein,0.012783194000000001,961.0
metXS,METX_PSEPK,Metx,Homoserine O-acetyltransferase,0.012750570166666666,962.0
PP_2308,Q88KI2_PSEPK,Pp_2308,"Acyl-CoA thioesterase II, putative",0.012717375277777778,963.0
PP_0581,Q88QB3_PSEPK,Pp_0581,3-oxoacyl-(Acyl-carrier-protein) reductase,0.012666232722222222,964.0
PP_2668,Q88JI1_PSEPK,Pp_2668,"ABC efflux transporter, ATP-binding protein",0.012645294,965.0
PP_2081,PSRP_PSEPK,Pp_2081,Putative phosphoenolpyruvate synthase regulatory protein,0.012601864444444444,966.0
aroQ1,AROQ1_PSEPK,Aroq1,3-dehydroquinate dehydratase 1,0.012559112722222222,967.0
paxB,Q88RG3_PSEPK,Pp_0167,Toxin secretion ATP-binding protein,0.012549334833333333,968.0
PP_0550,Q88QE4_PSEPK,Pp_0550,Uncharacterized protein,0.012549236722222223,969.0
hisP,Q88EI0_PSEPK,Pp_4483,"Basic amino acid ABC transporter, ATP-binding protein",0.012484790833333334,970.0
PP_4628,Q88E40_PSEPK,Mioc,MioC protein,0.012468330111111111,971.0
PP_1113,Q88NU1_PSEPK,Pp_1113,Pyridoxal-phosphate dependent enzyme family protein,0.012450962555555556,972.0
cysM,Q88MC0_PSEPK,Cysm,Cysteine synthase,0.012438280666666668,973.0
recN,Q88DU0_PSEPK,Recn,DNA repair protein RecN,0.012411791666666666,974.0
ttgB,TTGB_PSEPK,Ttgb,Probable efflux pump membrane transporter TtgB,0.012390056722222221,975.0
PP_0998,Q88P55_PSEPK,Pp_0998,Uncharacterized protein,0.012368796388888888,976.0
cbcX,Q88R38_PSEPK,Pp_0296,"Glycine betaine/L-proline ABC transporter, periplasmic binding protein",0.012365769444444445,977.0
gstA,Q88NP5_PSEPK,Pp_1162,Glutathione S-transferase family protein,0.012362617666666666,978.0
gmhA,Q88N89_PSEPK,Gmha,Phosphoheptose isomerase,0.012359643222222223,979.0
PP_5112,Q88CR8_PSEPK,Pp_5112,"Zinc protease, putative",0.012314765277777778,980.0
emrA,Q88H16_PSEPK,Emra,Multidrug efflux MFS membrane fusion protein,0.012296937888888889,981.0
PP_4259,Q88F40_PSEPK,Pp_4259,Iron-sulfur cluster-binding protein,0.012279369222222222,982.0
moaB-I,Q88L15_PSEPK,Moab-1,Molybdenum cofactor biosynthesis protein B,0.012277600277777778,983.0
mscL,MSCL_PSEPK,Mscl,Large-conductance mechanosensitive channel,0.012260778666666666,984.0
gmk,KGUA_PSEPK,Gmk,Guanylate kinase,0.012245518444444443,985.0
thiE,THIE_PSEPK,Thie,Thiamine-phosphate synthase,0.012242385055555555,986.0
rnc,RNC_PSEPK,Rnc,Ribonuclease 3,0.012240120333333333,987.0
phhB,PHS_PSEPK,Phhb,Pterin-4-alpha-carbinolamine dehydratase,0.012207552944444445,988.0
ribF,Q88Q93_PSEPK,Ribf,Riboflavin biosynthesis protein,0.012144094722222222,989.0
rhlE-I,Q88DQ7_PSEPK,Pp_4766,"ATP-dependent RNA helicase, DEAD box family",0.012139078888888889,990.0
opdC,Q88PP9_PSEPK,Pp_0799,"Porin, putative",0.012101272722222223,991.0
PP_3404,Q88HF5_PSEPK,Pp_3404,Uncharacterized protein,0.01208591388888889,992.0
PP_1353,Q88N63_PSEPK,Pp_1353,Uncharacterized protein,0.012065967388888888,993.0
thiO,Q88Q83_PSEPK,Pp_0612,"Oxidoreductase, FAD-binding",0.012053964333333334,994.0
astE,ASTE_PSEPK,Aste,Succinylglutamate desuccinylase,0.012035502555555556,995.0
PP_0657,Q88Q41_PSEPK,Pp_0657,"Amino acid ABC transporter, periplasmic amino acid-binding protein, putative",0.012018718666666667,996.0
PP_0354,Q88QY0_PSEPK,Pp_0354,CBS domain protein,0.012013131166666668,997.0
flhF,Q88EV9_PSEPK,Flhf,Flagellar biosynthetic protein FlhF,0.012008135166666666,998.0
PP_4760,Q88DR3_PSEPK,Pp_4760,"Alcohol dehydrogenase, zinc-containing",0.011989615611111112,999.0
yrpB,Q88G98_PSEPK,Pp_3827,Uncharacterized protein,0.011986373833333334,1000.0
algB,ALGB_PSEPK,Algb,Alginate biosynthesis transcriptional regulatory protein AlgB,0.011959654111111112,1001.0
kdsC,Q88P96_PSEPK,Pp_0956,"Phosphatase, YrbI family",0.011892719166666668,1002.0
puuE,Q88F13_PSEPK,Pp_4286,Polysaccharide deacetylase family protein,0.011870818611111111,1003.0
plpB,Q88CL5_PSEPK,Pp_5165,"Lipoprotein, putative",0.011855873722222222,1004.0
davA,Q88QV2_PSEPK,Pp_0382,Carbon-nitrogen hydrolase family protein,0.011786101666666667,1005.0
fliM,Q88EU5_PSEPK,Flim,Flagellar motor switch protein FliM,0.01177958861111111,1006.0
pet,Q88I17_PSEPK,Pet18,Aminopyrimidine aminohydrolase,0.011753275833333333,1007.0
mcpQ,Q88D09_PSEPK,Pp_5020,Methyl-accepting chemotaxis transducer,0.011723115555555556,1008.0
gltK,Q88NY4_PSEPK,Pp_1069,"Amino acid ABC transporter, permease protein",0.011701768444444444,1009.0
PP_2422,Q88K69_PSEPK,Pp_2422,Alkyl hydroperoxide reductase AhpD,0.0116747195,1010.0
dapE,DAPE_PSEPK,Dape,Succinyl-diaminopimelate desuccinylase,0.011663833666666667,1011.0
mreC,Q88PB6_PSEPK,Mrec,Rod shape determining protein MreC,0.011627547111111112,1012.0
PP_0501,Q88QJ1_PSEPK,Pp_0501,NAD-dependent epimerase/dehydratase family protein,0.011591353944444445,1013.0
yfiH,Q88Q72_PSEPK,Pp_0624,Laccase domain protein,0.011579779285714286,1014.0
PP_2356,Q88KD4_PSEPK,Pp_2356,"Phytochrome family protein, putative",0.011579189611111112,1015.0
PP_2144,Q88KZ5_PSEPK,Pp_2144,"Transcriptional regulator, TetR family",0.011537563555555555,1016.0
PP_5229,Q88CF2_PSEPK,Pp_5229,Uncharacterized protein,0.011508779555555555,1017.0
nfuA,NFUA_PSEPK,Nfua,Fe/S biogenesis protein NfuA,0.011500104,1018.0
PP_0122,Q88RK7_PSEPK,Pp_0122,Uncharacterized protein,0.011466495,1019.0
PP_0769,Q88PS9_PSEPK,Pp_0769,Sensor histidine kinase,0.011463383055555556,1020.0
PP_0182,Q88RE8_PSEPK,Pp_0182,Uncharacterized protein,0.011456209666666668,1021.0
PP_4364,Q88ET9_PSEPK,Pp_4364,"Anti-sigma F factor antagonist, putative",0.011424161833333333,1022.0
PP_4940,Q88D87_PSEPK,Pp_4940,Uncharacterized protein,0.0114058755,1023.0
clpV,Q88IA4_PSEPK,Pp_3095,"Chaperone-associated ATPase, putative",0.011405309944444445,1024.0
PP_1358,Q88N58_PSEPK,Pp_1358,Uncharacterized protein,0.011392392055555554,1025.0
mlaE,Q88P93_PSEPK,Ttg2b,"Toluene tolerance ABC efflux transporter, permease",0.011327652277777777,1026.0
apaH,APAH_PSEPK,Apah,"Bis(5'-nucleosyl)-tetraphosphatase, symmetrical",0.011325655277777779,1027.0
rimM,RIMM_PSEPK,Rimm,Ribosome maturation factor RimM,0.011293365,1028.0
ccoP-II,Q88F41_PSEPK,Ccop-2,Cbb3-type cytochrome c oxidase subunit,0.01123686738888889,1029.0
dnaEA,Q88MG5_PSEPK,Dnae,DNA-directed DNA polymerase,0.01120615561111111,1030.0
flgL,Q88ES3_PSEPK,Flgl,Flagellar hook-associated protein FlgL,0.011176340444444445,1031.0
PP_2601,Q88JP8_PSEPK,Pp_2601,"Transcriptional regulator, IclR family",0.0111641745,1032.0
astB,ASTB_PSEPK,Astb,N-succinylarginine dihydrolase,0.011159329166666667,1033.0
PP_3157,Q88I44_PSEPK,Pp_3157,Inositol monophosphatase family protein,0.011126634277777776,1034.0
PP_2550,Y2550_PSEPK,Pp_2550,Probable transcriptional regulatory protein PP_2550,0.011055213363636364,1035.0
PP_1666,Q88MA8_PSEPK,Pp_1666,Uncharacterized protein,0.011035364277777777,1036.0
PP_5039,Q88CZ0_PSEPK,Pp_5039,Uncharacterized protein,0.011027731,1037.0
asd,Q88LE2_PSEPK,Pp_1992,Semialdehyde dehydrogenase family protein,0.011025172111111111,1038.0
eutB,Q88QF1_PSEPK,Eutb,"Ethanolamine ammonia-lyase, heavy subunit",0.010985037555555556,1039.0
ubiG,UBIG_PSEPK,Ubig,Ubiquinone biosynthesis O-methyltransferase,0.010946656611111112,1040.0
PP_4570,Q88E96_PSEPK,Pp_4570,Uncharacterized protein,0.01092606861111111,1041.0
fruA,Q88PQ3_PSEPK,Frua,"Phosphotransferase system, fructose-specific IIBC component",0.010895312571428572,1042.0
PP_1510,Q88MR0_PSEPK,Pp_1510,"Carboxyvinyl-carboxyphosphonate phosphorylmutase, putative",0.010886121666666667,1043.0
xdhA,Q88F21_PSEPK,Xdha,"Xanthine dehydrogenase, XdhA subunit",0.010883483888888889,1044.0
ybgI,Q88NB0_PSEPK,Pp_1302,GTP cyclohydrolase 1 type 2 homolog,0.01087834861111111,1045.0
PP_0139,Q88RJ0_PSEPK,Pp_0139,"Lipoprotein, putative",0.010848024722222223,1046.0
PP_3491,Q88H70_PSEPK,Pp_3491,Enoly-coenzyme A hydratase/isomerase family protein,0.010838111944444444,1047.0
PP_2277,Q88KL3_PSEPK,Pp_2277,Uncharacterized protein,0.010833674333333333,1048.0
PP_2355,Q88KD5_PSEPK,Pp_2355,Response regulator,0.010801394444444444,1049.0
PP_4704,Q88DW4_PSEPK,Pp_4704,Uncharacterized protein,0.010796005777777777,1050.0
copB-II,Q88C04_PSEPK,Copb,Copper resistance protein B,0.010790969055555556,1051.0
rph,RNPH_PSEPK,Rph,Ribonuclease PH,0.010725772666666668,1052.0
PP_4939,Q88D88_PSEPK,Pp_4939,Uncharacterized protein,0.010719751333333333,1053.0
pqqE,PQQE_PSEPK,Pqqe,Coenzyme PQQ synthesis protein E,0.01070914538888889,1054.0
PP_3127,Q88I74_PSEPK,Pp_3127,"Exopolysaccharide transport protein, putative",0.010678278555555556,1055.0
betB,BETB_PSEPK,Betb,NAD/NADP-dependent betaine aldehyde dehydrogenase,0.010642404166666668,1056.0
PP_0973,NDPA_PSEPK,Pp_0973,Nucleoid-associated protein PP_0973,0.010608982,1057.0
msbA,MSBA_PSEPK,Msba,Lipid A export ATP-binding/permease protein MsbA,0.010592266833333332,1058.0
aotP,Q88R51_PSEPK,Pp_0283,"Amino acid ABC transporter, ATP-binding protein",0.010582467277777778,1059.0
xthA,Q88IV9_PSEPK,Xtha,Exodeoxyribonuclease III,0.010578424166666666,1060.0
thiI,THII_PSEPK,Thii,tRNA sulfurtransferase,0.010564326277777779,1061.0
ybeY,YBEY_PSEPK,Ybey,Endoribonuclease YbeY,0.010560789222222223,1062.0
PP_0939,Q88PB1_PSEPK,Pp_0939,Carbon-nitrogen hydrolase family protein,0.010551065,1063.0
astA-II,Q88EI2_PSEPK,Aruf,Arginine N-succinyltransferase,0.010523909,1064.0
PP_0797,Q88PQ1_PSEPK,Pp_0797,Uncharacterized protein,0.010495626388888889,1065.0
aspA,Q88C45_PSEPK,Aspa,Aspartate ammonia-lyase,0.010493829666666668,1066.0
thyA,TYSY_PSEPK,Thya,Thymidylate synthase,0.010447549333333334,1067.0
PP_1207,Q88NK0_PSEPK,Pp_1207,Uncharacterized protein,0.010420778666666667,1068.0
petB,Q88N94_PSEPK,Petb,Cytochrome b,0.01039526788888889,1069.0
coaE,COAE_PSEPK,Coae,Dephospho-CoA kinase,0.010370863777777777,1070.0
tam,Q88JV2_PSEPK,Pp_2545,"Trans-aconitate methyltransferase, putative",0.010369730555555555,1071.0
orn,ORN_PSEPK,Orn,Oligoribonuclease,0.010347175722222221,1072.0
PP_4583,Q88E83_PSEPK,Pp_4583,"Peptidase, putative",0.010331389333333333,1073.0
gcvT,GCST_PSEPK,Gcvt,Aminomethyltransferase,0.01032984811111111,1074.0
PP_1816,Q88LW1_PSEPK,Pp_1816,"Alcohol dehydrogenase, zinc-containing",0.010314429944444444,1075.0
cheR2,CHER2_PSEPK,Cher2,Chemotaxis protein methyltransferase Cher2,0.010310886,1076.0
PP_2059,Y2059_PSEPK,Pp_2059,UPF0337 protein PP_2059,0.010305300055555557,1077.0
PP_2129,Q88L08_PSEPK,Pp_2129,Uncharacterized protein,0.010303757666666667,1078.0
PP_1488,Q88MT0_PSEPK,Pp_1488,Methyl-accepting chemotaxis transducer,0.010256845611111112,1079.0
dxr,DXR_PSEPK,Dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,0.010249810055555555,1080.0
